id,baseValueM5,baseValueM4,baseValueM3,baseValueM2,baseValueM1,baseValue,baseValueP1,baseValueP2,baseValueP3,baseValueP4,baseValueP5
3T,-2.10,-1.68,-1.26,-0.84,-0.42,4.20,0.42,0.84,1.26,1.68,2.10
3S,-2.15,-1.72,-1.29,-0.86,-0.43,4.30,0.43,0.86,1.29,1.72,2.15
3Lo,-2.45,-1.96,-1.47,-0.98,-0.49,4.90,0.49,0.98,1.47,1.96,2.45
3F,-2.65,-2.12,-1.59,-1.06,-0.53,5.30,0.53,1.06,1.59,2.12,2.65
3Lz,-2.95,-2.36,-1.77,-1.18,-0.59,5.90,0.59,1.18,1.77,2.36,2.95
2Ab,-1.65,-1.32,-0.99,-0.66,-0.33,3.30,0.33,0.66,0.99,1.32,1.65
3Tb,-2.10,-1.68,-1.26,-0.84,-0.42,4.20,0.42,0.84,1.26,1.68,2.10
3Sb,-2.15,-1.72,-1.29,-0.86,-0.43,4.30,0.43,0.86,1.29,1.72,2.15
3Lob,-2.45,-1.96,-1.47,-0.98,-0.49,4.90,0.49,0.98,1.47,1.96,2.45
3Fb,-2.65,-2.12,-1.59,-1.06,-0.53,5.30,0.53,1.06,1.59,2.12,2.65
3Lzb,-2.95,-2.36,-1.77,-1.18,-0.59,5.90,0.59,1.18,1.77,2.36,2.95
2Aq,-1.65,-1.32,-0.99,-0.66,-0.33,3.30,0.33,0.66,0.99,1.32,1.65
3Tq,-2.10,-1.68,-1.26,-0.84,-0.42,4.20,0.42,0.84,1.26,1.68,2.10
3Sq,-2.15,-1.72,-1.29,-0.86,-0.43,4.30,0.43,0.86,1.29,1.72,2.15
3Loq,-2.45,-1.96,-1.47,-0.98,-0.49,4.90,0.49,0.98,1.47,1.96,2.45
3Fq,-2.65,-2.12,-1.59,-1.06,-0.53,5.30,0.53,1.06,1.59,2.12,2.65
3Lzq,-2.95,-2.36,-1.77,-1.18,-0.59,5.90,0.59,1.18,1.77,2.36,2.95
2Aqb,-1.65,-1.32,-0.99,-0.66,-0.33,3.30,0.33,0.66,0.99,1.32,1.65
3Tqb,-2.10,-1.68,-1.26,-0.84,-0.42,4.20,0.42,0.84,1.26,1.68,2.10
3Sqb,-2.15,-1.72,-1.29,-0.86,-0.43,4.30,0.43,0.86,1.29,1.72,2.15
3Loqb,-2.45,-1.96,-1.47,-0.98,-0.49,4.90,0.49,0.98,1.47,1.96,2.45
3Fqb,-2.65,-2.12,-1.59,-1.06,-0.53,5.30,0.53,1.06,1.59,2.12,2.65
3Lzqb,-2.95,-2.36,-1.77,-1.18,-0.59,5.90,0.59,1.18,1.77,2.36,2.95
2A<,-1.32,-1.06,-0.79,-0.53,-0.26,2.64,0.26,0.53,0.79,1.06,1.32
3T<,-1.68,-1.34,-1.01,-0.67,-0.34,3.36,0.34,0.67,1.01,1.34,1.68
3S<,-1.72,-1.38,-1.03,-0.69,-0.34,3.44,0.34,0.69,1.03,1.38,1.72
3Lo<,-1.96,-1.57,-1.18,-0.78,-0.39,3.92,0.39,0.78,1.18,1.57,1.96
3F<,-2.12,-1.70,-1.27,-0.85,-0.42,4.24,0.42,0.85,1.27,1.70,2.12
3Lz<,-2.36,-1.89,-1.42,-0.94,-0.47,4.72,0.47,0.94,1.42,1.89,2.36
2A<<,-0.55,-0.44,-0.33,-0.22,-0.11,1.10,0.11,0.22,0.33,0.44,0.55
3T<<,-0.65,-0.52,-0.39,-0.26,-0.13,1.30,0.13,0.26,0.39,0.52,0.65
3S<<,-0.65,-0.52,-0.39,-0.26,-0.13,1.30,0.13,0.26,0.39,0.52,0.65
3Lo<<,-0.85,-0.68,-0.51,-0.34,-0.17,1.70,0.17,0.34,0.51,0.68,0.85
3F<<,-0.90,-0.72,-0.54,-0.36,-0.18,1.80,0.18,0.36,0.54,0.72,0.90
3Lz<<,-1.05,-0.84,-0.63,-0.42,-0.21,2.10,0.21,0.42,0.63,0.84,1.05
3Fe,-2.12,-1.70,-1.27,-0.85,-0.42,4.24,0.42,0.85,1.27,1.70,2.12
3Feq,-2.12,-1.70,-1.27,-0.85,-0.42,4.24,0.42,0.85,1.27,1.70,2.12
3Fe<,-1.59,-1.27,-0.95,-0.64,-0.32,3.18,0.32,0.64,0.95,1.27,1.59
3Fe<<,-0.72,-0.58,-0.43,-0.29,-0.14,1.44,0.14,0.29,0.43,0.58,0.72
3Lze,-2.36,-1.89,-1.42,-0.94,-0.47,4.72,0.47,0.94,1.42,1.89,2.36
3Lzeq,-2.36,-1.89,-1.42,-0.94,-0.47,4.72,0.47,0.94,1.42,1.89,2.36
3Lze<,-1.77,-1.42,-1.06,-0.71,-0.35,3.54,0.35,0.71,1.06,1.42,1.77
3Lze<<,-0.84,-0.67,-0.50,-0.34,-0.17,1.68,0.17,0.34,0.50,0.67,0.84
3F!,-2.65,-2.12,-1.59,-1.06,-0.53,5.30,0.53,1.06,1.59,2.12,2.65
3F!b,-2.65,-2.12,-1.59,-1.06,-0.53,5.30,0.53,1.06,1.59,2.12,2.65
3F!q,-2.65,-2.12,-1.59,-1.06,-0.53,5.30,0.53,1.06,1.59,2.12,2.65
3F!qb,-2.65,-2.12,-1.59,-1.06,-0.53,5.30,0.53,1.06,1.59,2.12,2.65
3F!<,-2.12,-1.70,-1.27,-0.85,-0.42,4.24,0.42,0.85,1.27,1.70,2.12
3F!<<,-0.90,-0.72,-0.54,-0.36,-0.18,1.80,0.18,0.36,0.54,0.72,0.90
3Lz!,-2.95,-2.36,-1.77,-1.18,-0.59,5.90,0.59,1.18,1.77,2.36,2.95
3Lz!b,-2.95,-2.36,-1.77,-1.18,-0.59,5.90,0.59,1.18,1.77,2.36,2.95
3Lz!q,-2.95,-2.36,-1.77,-1.18,-0.59,5.90,0.59,1.18,1.77,2.36,2.95
3Lz!qb,-2.95,-2.36,-1.77,-1.18,-0.59,5.90,0.59,1.18,1.77,2.36,2.95
3Lz!<,-2.36,-1.89,-1.42,-0.94,-0.47,4.72,0.47,0.94,1.42,1.89,2.36
3Lz!<<,-1.05,-0.84,-0.63,-0.42,-0.21,2.10,0.21,0.42,0.63,0.84,1.05
3A,-4.00,-3.20,-2.40,-1.60,-0.80,8.00,0.80,1.60,2.40,3.20,4.00
3Ab,-4.00,-3.20,-2.40,-1.60,-0.80,8.00,0.80,1.60,2.40,3.20,4.00
4T,-4.75,-3.80,-2.85,-1.90,-0.95,9.50,0.95,1.90,2.85,3.80,4.75
4S,-4.85,-3.88,-2.91,-1.94,-0.97,9.70,0.97,1.94,2.91,3.88,4.85
4Lo,-5.25,-4.20,-3.15,-2.10,-1.05,10.50,1.05,2.10,3.15,4.20,5.25
4F,-5.50,-4.40,-3.30,-2.20,-1.10,11.00,1.10,2.20,3.30,4.40,5.50
4Lz,-5.75,-4.60,-3.45,-2.30,-1.15,11.50,1.15,2.30,3.45,4.60,5.75
4A,-6.25,-5.00,-3.75,-2.50,-1.25,12.50,1.25,2.50,3.75,5.00,6.25
3Aq,-4.00,-3.20,-2.40,-1.60,-0.80,8.00,0.80,1.60,2.40,3.20,4.00
3Aqb,-4.00,-3.20,-2.40,-1.60,-0.80,8.00,0.80,1.60,2.40,3.20,4.00
4Tq,-4.75,-3.80,-2.85,-1.90,-0.95,9.50,0.95,1.90,2.85,3.80,4.75
4Sq,-4.85,-3.88,-2.91,-1.94,-0.97,9.70,0.97,1.94,2.91,3.88,4.85
4Loq,-5.25,-4.20,-3.15,-2.10,-1.05,10.50,1.05,2.10,3.15,4.20,5.25
4Fq,-5.50,-4.40,-3.30,-2.20,-1.10,11.00,1.10,2.20,3.30,4.40,5.50
4Lzq,-5.75,-4.60,-3.45,-2.30,-1.15,11.50,1.15,2.30,3.45,4.60,5.75
4Aq,-6.25,-5.00,-3.75,-2.50,-1.25,12.50,1.25,2.50,3.75,5.00,6.25
3A<,-3.20,-2.56,-1.92,-1.28,-0.64,6.40,0.64,1.28,1.92,2.56,3.20
4T<,-3.80,-3.04,-2.28,-1.52,-0.76,7.60,0.76,1.52,2.28,3.04,3.80
4S<,-3.88,-3.10,-2.33,-1.55,-0.78,7.76,0.78,1.55,2.33,3.10,3.88
4Lo<,-4.20,-3.36,-2.52,-1.68,-0.84,8.40,0.84,1.68,2.52,3.36,4.20
4F<,-4.40,-3.52,-2.64,-1.76,-0.88,8.80,0.88,1.76,2.64,3.52,4.40
4Lz<,-4.60,-3.68,-2.76,-1.84,-0.92,9.20,0.92,1.84,2.76,3.68,4.60
3A<<,-1.65,-1.32,-0.99,-0.66,-0.33,3.30,0.33,0.66,0.99,1.32,1.65
4T<<,-2.10,-1.68,-1.26,-0.84,-0.42,4.20,0.42,0.84,1.26,1.68,2.10
4S<<,-2.15,-1.72,-1.29,-0.86,-0.43,4.30,0.43,0.86,1.29,1.72,2.15
4Lo<<,-2.45,-1.96,-1.47,-0.98,-0.49,4.90,0.49,0.98,1.47,1.96,2.45
4F<<,-2.65,-2.12,-1.59,-1.06,-0.53,5.30,0.53,1.06,1.59,2.12,2.65
4Lz<<,-2.95,-2.36,-1.77,-1.18,-0.59,5.90,0.59,1.18,1.77,2.36,2.95
4Fe,-4.40,-3.52,-2.64,-1.76,-0.88,8.80,0.88,1.76,2.64,3.52,4.40
4Feq,-4.40,-3.52,-2.64,-1.76,-0.88,8.80,0.88,1.76,2.64,3.52,4.40
4Fe<,-3.30,-2.64,-1.98,-1.32,-0.66,6.60,0.66,1.32,1.98,2.64,3.30
4Fe<<,-2.12,-1.70,-1.27,-0.85,-0.42,4.24,0.42,0.85,1.27,1.70,2.12
4Lze,-4.60,-3.68,-2.76,-1.84,-0.92,9.20,0.92,1.84,2.76,3.68,4.60
4Lzeq,-4.60,-3.68,-2.76,-1.84,-0.92,9.20,0.92,1.84,2.76,3.68,4.60
4Lze<,-3.45,-2.76,-2.07,-1.38,-0.69,6.90,0.69,1.38,2.07,2.76,3.45
4Lze<<,-2.36,-1.89,-1.42,-0.94,-0.47,4.72,0.47,0.94,1.42,1.89,2.36
4F!,-5.50,-4.40,-3.30,-2.20,-1.10,11.00,1.10,2.20,3.30,4.40,5.50
4F!q,-5.50,-4.40,-3.30,-2.20,-1.10,11.00,1.10,2.20,3.30,4.40,5.50
4F!<,-4.40,-3.52,-2.64,-1.76,-0.88,8.80,0.88,1.76,2.64,3.52,4.40
4F!<<,-2.65,-2.12,-1.59,-1.06,-0.53,5.30,0.53,1.06,1.59,2.12,2.65
4Lz!,-5.75,-4.60,-3.45,-2.30,-1.15,11.50,1.15,2.30,3.45,4.60,5.75
4Lz!q,-5.75,-4.60,-3.45,-2.30,-1.15,11.50,1.15,2.30,3.45,4.60,5.75
4Lz!<,-4.60,-3.68,-2.76,-1.84,-0.92,9.20,0.92,1.84,2.76,3.68,4.60
4Lz!<<,-2.95,-2.36,-1.77,-1.18,-0.59,5.90,0.59,1.18,1.77,2.36,2.95
4A<,-5.00,-4.00,-3.00,-2.00,-1.00,10.00,1.00,2.00,3.00,4.00,5.00
4A<<,-4.00,-3.20,-2.40,-1.60,-0.80,8.00,0.80,1.60,2.40,3.20,4.00
USpB,-0.50,-0.40,-0.30,-0.20,-0.10,1.00,0.10,0.20,0.30,0.40,0.50
USp1,-0.60,-0.48,-0.36,-0.24,-0.12,1.20,0.12,0.24,0.36,0.48,0.60
USp2,-0.75,-0.60,-0.45,-0.30,-0.15,1.50,0.15,0.30,0.45,0.60,0.75
USp3,-0.95,-0.76,-0.57,-0.38,-0.19,1.90,0.19,0.38,0.57,0.76,0.95
USp4,-1.20,-0.96,-0.72,-0.48,-0.24,2.40,0.24,0.48,0.72,0.96,1.20
LSpB,-0.60,-0.48,-0.36,-0.24,-0.12,1.20,0.12,0.24,0.36,0.48,0.60
LSp1,-0.75,-0.60,-0.45,-0.30,-0.15,1.50,0.15,0.30,0.45,0.60,0.75
LSp2,-0.95,-0.76,-0.57,-0.38,-0.19,1.90,0.19,0.38,0.57,0.76,0.95
LSp3,-1.20,-0.96,-0.72,-0.48,-0.24,2.40,0.24,0.48,0.72,0.96,1.20
LSp4,-1.35,-1.08,-0.81,-0.54,-0.27,2.70,0.27,0.54,0.81,1.08,1.35
CSpB,-0.55,-0.44,-0.33,-0.22,-0.11,1.10,0.11,0.22,0.33,0.44,0.55
CSp1,-0.70,-0.56,-0.42,-0.28,-0.14,1.40,0.14,0.28,0.42,0.56,0.70
CSp2,-0.90,-0.72,-0.54,-0.36,-0.18,1.80,0.18,0.36,0.54,0.72,0.90
CSp3,-1.15,-0.92,-0.69,-0.46,-0.23,2.30,0.23,0.46,0.69,0.92,1.15
CSp4,-1.30,-1.04,-0.78,-0.52,-0.26,2.60,0.26,0.52,0.78,1.04,1.30
SSpB,-0.55,-0.44,-0.33,-0.22,-0.11,1.10,0.11,0.22,0.33,0.44,0.55
SSp1,-0.65,-0.52,-0.39,-0.26,-0.13,1.30,0.13,0.26,0.39,0.52,0.65
SSp2,-0.80,-0.64,-0.48,-0.32,-0.16,1.60,0.16,0.32,0.48,0.64,0.80
SSp3,-1.05,-0.84,-0.63,-0.42,-0.21,2.10,0.21,0.42,0.63,0.84,1.05
SSp4,-1.25,-1.00,-0.75,-0.50,-0.25,2.50,0.25,0.50,0.75,1.00,1.25
FUSpB,-0.75,-0.60,-0.45,-0.30,-0.15,1.50,0.15,0.30,0.45,0.60,0.75
FUSp1,-0.85,-0.68,-0.51,-0.34,-0.17,1.70,0.17,0.34,0.51,0.68,0.85
FUSp2,-1.00,-0.80,-0.60,-0.40,-0.20,2.00,0.20,0.40,0.60,0.80,1.00
FUSp3,-1.20,-0.96,-0.72,-0.48,-0.24,2.40,0.24,0.48,0.72,0.96,1.20
FUSp4,-1.45,-1.16,-0.87,-0.58,-0.29,2.90,0.29,0.58,0.87,1.16,1.45
FUSpBV,-0.57,-0.45,-0.34,-0.23,-0.11,1.13,0.11,0.23,0.34,0.45,0.57
FUSp1V,-0.64,-0.51,-0.38,-0.26,-0.13,1.28,0.13,0.26,0.38,0.51,0.64
FUSp2V,-0.75,-0.60,-0.45,-0.30,-0.15,1.50,0.15,0.30,0.45,0.60,0.75
FUSp3V,-0.90,-0.72,-0.54,-0.36,-0.18,1.80,0.18,0.36,0.54,0.72,0.90
FUSp4V,-1.09,-0.87,-0.65,-0.44,-0.22,2.18,0.22,0.44,0.65,0.87,1.09
FLSpB,-0.85,-0.68,-0.51,-0.34,-0.17,1.70,0.17,0.34,0.51,0.68,0.85
FLSp1,-1.00,-0.80,-0.60,-0.40,-0.20,2.00,0.20,0.40,0.60,0.80,1.00
FLSp2,-1.20,-0.96,-0.72,-0.48,-0.24,2.40,0.24,0.48,0.72,0.96,1.20
FLSp3,-1.45,-1.16,-0.87,-0.58,-0.29,2.90,0.29,0.58,0.87,1.16,1.45
FLSp4,-1.60,-1.28,-0.96,-0.64,-0.32,3.20,0.32,0.64,0.96,1.28,1.60
FLSpBV,-0.64,-0.51,-0.38,-0.26,-0.13,1.28,0.13,0.26,0.38,0.51,0.64
FLSp1V,-0.75,-0.60,-0.45,-0.30,-0.15,1.50,0.15,0.30,0.45,0.60,0.75
FLSp2V,-0.90,-0.72,-0.54,-0.36,-0.18,1.80,0.18,0.36,0.54,0.72,0.90
FLSp3V,-1.09,-0.87,-0.65,-0.44,-0.22,2.18,0.22,0.44,0.65,0.87,1.09
FLSp4V,-1.20,-0.96,-0.72,-0.48,-0.24,2.40,0.24,0.48,0.72,0.96,1.20
FCSpB,-0.80,-0.64,-0.48,-0.32,-0.16,1.60,0.16,0.32,0.48,0.64,0.80
FCSp1,-0.95,-0.76,-0.57,-0.38,-0.19,1.90,0.19,0.38,0.57,0.76,0.95
FCSp2,-1.15,-0.92,-0.69,-0.46,-0.23,2.30,0.23,0.46,0.69,0.92,1.15
FCSp3,-1.40,-1.12,-0.84,-0.56,-0.28,2.80,0.28,0.56,0.84,1.12,1.40
FCSp4,-1.60,-1.28,-0.96,-0.64,-0.32,3.20,0.32,0.64,0.96,1.28,1.60
FCSpBV,-0.60,-0.48,-0.36,-0.24,-0.12,1.20,0.12,0.24,0.36,0.48,0.60
FCSp1V,-0.72,-0.57,-0.43,-0.29,-0.14,1.43,0.14,0.29,0.43,0.57,0.72
FCSp2V,-0.87,-0.69,-0.52,-0.35,-0.17,1.73,0.17,0.35,0.52,0.69,0.87
FCSp3V,-1.05,-0.84,-0.63,-0.42,-0.21,2.10,0.21,0.42,0.63,0.84,1.05
FCSp4V,-1.20,-0.96,-0.72,-0.48,-0.24,2.40,0.24,0.48,0.72,0.96,1.20
FSSpB,-0.85,-0.68,-0.51,-0.34,-0.17,1.70,0.17,0.34,0.51,0.68,0.85
FSSp1,-1.00,-0.80,-0.60,-0.40,-0.20,2.00,0.20,0.40,0.60,0.80,1.00
FSSp2,-1.15,-0.92,-0.69,-0.46,-0.23,2.30,0.23,0.46,0.69,0.92,1.15
FSSp3,-1.30,-1.04,-0.78,-0.52,-0.26,2.60,0.26,0.52,0.78,1.04,1.30
FSSp4,-1.50,-1.20,-0.90,-0.60,-0.30,3.00,0.30,0.60,0.90,1.20,1.50
FSSpBV,-0.64,-0.51,-0.38,-0.26,-0.13,1.28,0.13,0.26,0.38,0.51,0.64
FSSp1V,-0.75,-0.60,-0.45,-0.30,-0.15,1.50,0.15,0.30,0.45,0.60,0.75
FSSp2V,-0.87,-0.69,-0.52,-0.35,-0.17,1.73,0.17,0.35,0.52,0.69,0.87
FSSp3V,-0.98,-0.78,-0.59,-0.39,-0.20,1.95,0.20,0.39,0.59,0.78,0.98
FSSp4V,-1.13,-0.90,-0.68,-0.45,-0.23,2.25,0.23,0.45,0.68,0.90,1.13
CUSpB,-0.75,-0.60,-0.45,-0.30,-0.15,1.50,0.15,0.30,0.45,0.60,0.75
CUSp1,-0.85,-0.68,-0.51,-0.34,-0.17,1.70,0.17,0.34,0.51,0.68,0.85
CUSp2,-1.00,-0.80,-0.60,-0.40,-0.20,2.00,0.20,0.40,0.60,0.80,1.00
CUSp3,-1.20,-0.96,-0.72,-0.48,-0.24,2.40,0.24,0.48,0.72,0.96,1.20
CUSp4,-1.45,-1.16,-0.87,-0.58,-0.29,2.90,0.29,0.58,0.87,1.16,1.45
CUSpBV,-0.57,-0.45,-0.34,-0.23,-0.11,1.13,0.11,0.23,0.34,0.45,0.57
CUSp1V,-0.64,-0.51,-0.38,-0.26,-0.13,1.28,0.13,0.26,0.38,0.51,0.64
CUSp2V,-0.75,-0.60,-0.45,-0.30,-0.15,1.50,0.15,0.30,0.45,0.60,0.75
CUSp3V,-0.90,-0.72,-0.54,-0.36,-0.18,1.80,0.18,0.36,0.54,0.72,0.90
CUSp4V,-1.09,-0.87,-0.65,-0.44,-0.22,2.18,0.22,0.44,0.65,0.87,1.09
FCUSpB,-0.75,-0.60,-0.45,-0.30,-0.15,1.50,0.15,0.30,0.45,0.60,0.75
FCUSp1,-0.85,-0.68,-0.51,-0.34,-0.17,1.70,0.17,0.34,0.51,0.68,0.85
FCUSp2,-1.00,-0.80,-0.60,-0.40,-0.20,2.00,0.20,0.40,0.60,0.80,1.00
FCUSp3,-1.20,-0.96,-0.72,-0.48,-0.24,2.40,0.24,0.48,0.72,0.96,1.20
